network,metric_name,metric_value
2018#1,Ratio of posts with multiple users commenting,2.355717159213987
2018#1,Total node count,19858.0
2018#1,Total edge count,29411.0
2018#1,Density,0.00014917314453494058
2018#1,Assortativity,-0.08149015374926577
2018#1,Community count,279.0
2018#1,Community modularity,0.8333498634870334
2018#1,Average internal vs external edge ratio,1.3062650004789709
2018#1-GCC,Total node count,19312.0
2018#1-GCC,Total edge count,29086.0
2018#1-GCC,Density,0.00015598469168402417
2017#8,Total comment count,46032.0
2017#8,Unique users,19822.0
2017#8,Unique posts with comments,2371.0
2017#8,Total comments without text,15.0
2017#8,Total comments that are replies,46017.0
2017#8,Valid user to user replies,34248.0
2017#8,Unique user to user reply pairs,26686.0
2017#8,Average user reply counts,1.2833695570711234
2017#8,Maximum user reply counts,52.0
2017#8,Median posts per user,1.0
2017#8,Median users per post,1.0
2017#8,Ratio of users commenting on multiple posts,8.987427120929679
2017#8,Ratio of posts with multiple users commenting,2.9191290207432674
2017#8,Total node count,19925.0
2017#8,Total edge count,28390.0
2017#8,Density,0.00014302782190895038
2017#8,Assortativity,-0.11624203273124596
2017#8,Community count,341.0
2017#8,Community modularity,0.8493430848210239
2017#8,Average internal vs external edge ratio,1.3435790310094569
2017#8-GCC,Total node count,19269.0
2017#8-GCC,Total edge count,28014.0
2017#8-GCC,Density,0.00015090697223502406
2017#2,Total comment count,41098.0
2017#2,Unique users,18155.0
2017#2,Unique posts with comments,2925.0
2017#2,Total comments without text,13.0
2017#2,Total comments that are replies,41085.0
2017#2,Valid user to user replies,28747.0
2017#2,Unique user to user reply pairs,23256.0
2017#2,Average user reply counts,1.2361111111111112
2017#2,Maximum user reply counts,38.0
2017#2,Median posts per user,1.0
2017#2,Median users per post,1.0
2017#2,Ratio of users commenting on multiple posts,8.99098795586625
2017#2,Ratio of posts with multiple users commenting,3.293186220837194
2017#2,Total node count,18492.0
2017#2,Total edge count,26184.0
2017#2,Density,0.00015315165864053477
2017#2,Assortativity,-0.08650978407125975
2017#2,Community count,344.0
2017#2,Community modularity,0.8565490213944961
2017#2,Average internal vs external edge ratio,1.3202525839953083
2017#2-GCC,Total node count,17796.0
2017#2-GCC,Total edge count,25773.0
2017#2-GCC,Density,0.00016277008115010296
2018#9,Total comment count,43452.0
2018#9,Unique users,17973.0
2018#9,Unique posts with comments,1809.0
2018#9,Total comments without text,15.0
2018#9,Total comments that are replies,43437.0
2018#9,Valid user to user replies,32935.0
2018#9,Unique user to user reply pairs,25650.0
2018#9,Average user reply counts,1.2840155945419103
2018#9,Maximum user reply counts,57.0
2018#9,Median posts per user,1.0
2018#9,Median users per post,1.0
2018#9,Ratio of users commenting on multiple posts,10.62438142777228
2018#9,Ratio of posts with multiple users commenting,2.556048022720427
2018#9,Total node count,18066.0
2018#9,Total edge count,27058.0
2018#9,Density,0.00016581572583033413
2018#9,Assortativity,-0.054518471595693785
2018#9,Community count,214.0
2018#9,Community modularity,0.8180392178390995
2018#9,Average internal vs external edge ratio,1.2947725882505612
2018#9-GCC,Total node count,17693.0
2018#9-GCC,Total edge count,26843.0
2018#9-GCC,Density,0.00017150731139444535
2016#10,Total comment count,40628.0
2016#10,Unique users,17583.0
2016#10,Unique posts with comments,3233.0
2016#10,Total comments without text,6.0
2016#10,Total comments that are replies,40622.0
2016#10,Valid user to user replies,27866.0
2016#10,Unique user to user reply pairs,22659.0
2016#10,Average user reply counts,1.2297983141356634
2016#10,Maximum user reply counts,32.0
2016#10,Median posts per user,1.0
2016#10,Median users per post,1.0
2016#10,Ratio of users commenting on multiple posts,9.581140812460534
2016#10,Ratio of posts with multiple users commenting,3.3803409808461375
2016#10,Total node count,18175.0
2016#10,Total edge count,25870.0
2016#10,Density,0.0001566395695953937
2016#10,Assortativity,-0.0773680415757354
2016#10,Community count,316.0
2016#10,Community modularity,0.8458882167094525
2016#10,Average internal vs external edge ratio,1.3100138851070395
2016#10-GCC,Total node count,17512.0
2016#10-GCC,Total edge count,25462.0
2016#10-GCC,Density,0.00016606412169976092
2018#7,Total comment count,40965.0
2018#7,Unique users,17578.0
2018#7,Unique posts with comments,1761.0
2018#7,Total comments without text,19.0
2018#7,Total comments that are replies,40946.0
2018#7,Valid user to user replies,30325.0
2018#7,Unique user to user reply pairs,23528.0
2018#7,Average user reply counts,1.2888898333900034
2018#7,Maximum user reply counts,31.0
2018#7,Median posts per user,1.0
2018#7,Median users per post,1.0
2018#7,Ratio of users commenting on multiple posts,9.122116440864152
2018#7,Ratio of posts with multiple users commenting,2.5723178322958624
2018#7,Total node count,17710.0
2018#7,Total edge count,25358.0
2018#7,Density,0.00016170833073071434
2018#7,Assortativity,-0.12960154468044058
2018#7,Community count,265.0
2018#7,Community modularity,0.8552016032229044
2018#7,Average internal vs external edge ratio,1.4410025859587354
2018#7-GCC,Total node count,17216.0
2018#7-GCC,Total edge count,25068.0
2018#7-GCC,Density,0.00016916495621200063
2016#8,Total comment count,40415.0
2016#8,Unique users,16802.0
2016#8,Unique posts with comments,2654.0
2016#8,Total comments without text,16.0
2016#8,Total comments that are replies,40399.0
2016#8,Valid user to user replies,28874.0
2016#8,Unique user to user reply pairs,22841.0
2016#8,Average user reply counts,1.2641302920187383
2016#8,Maximum user reply counts,18.0
2016#8,Median posts per user,1.0
2016#8,Median users per post,1.0
2016#8,Ratio of users commenting on multiple posts,9.570750067210323
2016#8,Ratio of posts with multiple users commenting,3.3470741105833857
2016#8,Total node count,17576.0
2016#8,Total edge count,25835.0
2016#8,Density,0.00016727193619127596
2016#8,Assortativity,-0.06870832748034478
2016#8,Community count,278.0
2016#8,Community modularity,0.8203013266376645
2016#8,Average internal vs external edge ratio,1.3444355645412949
2016#8-GCC,Total node count,17050.0
2016#8-GCC,Total edge count,25525.0
2016#8-GCC,Density,0.00017561938514638417
2018#4,Total comment count,38144.0
2018#4,Unique users,17030.0
2018#4,Unique posts with comments,1831.0
2018#4,Total comments without text,16.0
2018#4,Total comments that are replies,38128.0
2018#4,Valid user to user replies,28194.0
2018#4,Unique user to user reply pairs,22185.0
2018#4,Average user reply counts,1.2708586883029074
2018#4,Maximum user reply counts,67.0
2018#4,Median posts per user,1.0
2018#4,Median users per post,1.0
2018#4,Ratio of users commenting on multiple posts,9.220421318137232
2018#4,Ratio of posts with multiple users commenting,2.7651922088841143
2018#4,Total node count,17256.0
2018#4,Total edge count,24425.0
2018#4,Density,0.00016406255562509883
2018#4,Assortativity,-0.08511337476323258
2018#4,Community count,287.0
2018#4,Community modularity,0.8463111726674517
2018#4,Average internal vs external edge ratio,1.366795142021253
2018#4-GCC,Total node count,16702.0
2018#4-GCC,Total edge count,24097.0
2018#4-GCC,Density,0.00017277544409874778
2018#8,Total comment count,36152.0
2018#8,Unique users,16520.0
2018#8,Unique posts with comments,1890.0
2018#8,Total comments without text,10.0
2018#8,Total comments that are replies,36142.0
2018#8,Valid user to user replies,26178.0
2018#8,Unique user to user reply pairs,20889.0
2018#8,Average user reply counts,1.2531954617262675
2018#8,Maximum user reply counts,31.0
2018#8,Median posts per user,1.0
2018#8,Median users per post,1.0
2018#8,Ratio of users commenting on multiple posts,10.186885091559573
2018#8,Ratio of posts with multiple users commenting,2.8150449559855013
2018#8,Total node count,16865.0
2018#8,Total edge count,23355.0
2018#8,Density,0.00016423394621086865
2018#8,Assortativity,-0.11073986105142483
2018#8,Community count,304.0
2018#8,Community modularity,0.8509916045518662
2018#8,Average internal vs external edge ratio,1.354041101656001
2018#8-GCC,Total node count,16298.0
2018#8-GCC,Total edge count,23025.0
2018#8-GCC,Density,0.00017337547164246315
2016#1,Total comment count,39245.0
2016#1,Unique users,16463.0
2016#1,Unique posts with comments,2756.0
2016#1,Total comments without text,4.0
2016#1,Total comments that are replies,39241.0
2016#1,Valid user to user replies,26451.0
2016#1,Unique user to user reply pairs,21166.0
2016#1,Average user reply counts,1.2496929037135027
2016#1,Maximum user reply counts,55.0
2016#1,Median posts per user,1.0
2016#1,Median users per post,1.0
2016#1,Ratio of users commenting on multiple posts,11.431531687100673
2016#1,Ratio of posts with multiple users commenting,4.636504921429805
2016#1,Total node count,16861.0
2016#1,Total edge count,24818.0
2016#1,Density,0.00017460467883974635
2016#1,Assortativity,-0.08399646067721386
2016#1,Community count,327.0
2016#1,Community modularity,0.8182954550094883
2016#1,Average internal vs external edge ratio,1.220985443286631
2016#1-GCC,Total node count,16237.0
2016#1-GCC,Total edge count,24456.0
2016#1-GCC,Density,0.0001855370247645043
2016#3,Total comment count,43657.0
2016#3,Unique users,17627.0
2016#3,Unique posts with comments,3021.0
2016#3,Total comments without text,9.0
2016#3,Total comments that are replies,43648.0
2016#3,Valid user to user replies,29549.0
2016#3,Unique user to user reply pairs,23087.0
2016#3,Average user reply counts,1.2798977779702863
2016#3,Maximum user reply counts,72.0
2016#3,Median posts per user,1.0
2016#3,Median users per post,1.0
2016#3,Ratio of users commenting on multiple posts,11.362538250926075
2016#3,Ratio of posts with multiple users commenting,4.843775165082944
2016#3,Total node count,17017.0
2016#3,Total edge count,24689.0
2016#3,Density,0.00017052694809269935
2016#3,Assortativity,-0.06739132910572293
2016#3,Community count,429.0
2016#3,Community modularity,0.831659720936192
2016#3,Average internal vs external edge ratio,1.2055418824853374
2016#3-GCC,Total node count,16095.0
2016#3-GCC,Total edge count,24133.0
2016#3-GCC,Density,0.00018633152163317614
2016#5,Total comment count,39445.0
2016#5,Unique users,16869.0
2016#5,Unique posts with comments,2751.0
2016#5,Total comments without text,9.0
2016#5,Total comments that are replies,39436.0
2016#5,Valid user to user replies,27137.0
2016#5,Unique user to user reply pairs,21593.0
2016#5,Average user reply counts,1.2567498726439124
2016#5,Maximum user reply counts,22.0
2016#5,Median posts per user,1.0
2016#5,Median users per post,1.0
2016#5,Ratio of users commenting on multiple posts,10.832238282961017
2016#5,Ratio of posts with multiple users commenting,3.5567236092860273
2016#5,Total node count,16686.0
2016#5,Total edge count,23384.0
2016#5,Density,0.00016798493968752314
2016#5,Assortativity,-0.06909762843986222
2016#5,Community count,384.0
2016#5,Community modularity,0.8423367835227346
2016#5,Average internal vs external edge ratio,1.2331518205137357
2016#5-GCC,Total node count,15883.0
2016#5-GCC,Total edge count,22904.0
2016#5-GCC,Density,0.00018159488146632762
2018#5,Total comment count,38398.0
2018#5,Unique users,16049.0
2018#5,Unique posts with comments,1781.0
2018#5,Total comments without text,10.0
2018#5,Total comments that are replies,38388.0
2018#5,Valid user to user replies,29360.0
2018#5,Unique user to user reply pairs,22946.0
2018#5,Average user reply counts,1.2795258432842325
2018#5,Maximum user reply counts,41.0
2018#5,Median posts per user,1.0
2018#5,Median users per post,1.0
2018#5,Ratio of users commenting on multiple posts,9.721746784683848
2018#5,Ratio of posts with multiple users commenting,3.0808352486674164
2018#5,Total node count,16312.0
2018#5,Total edge count,24176.0
2018#5,Density,0.00018173000651960908
2018#5,Assortativity,-0.12748996645064545
2018#5,Community count,233.0
2018#5,Community modularity,0.8424085454439931
2018#5,Average internal vs external edge ratio,1.3650785449433385
2018#5-GCC,Total node count,15834.0
2018#5-GCC,Total edge count,23875.0
2018#5-GCC,Density,0.00019046690446669103
2016#7,Total comment count,36133.0
2016#7,Unique users,16035.0
2016#7,Unique posts with comments,2452.0
2016#7,Total comments without text,17.0
2016#7,Total comments that are replies,36116.0
2016#7,Valid user to user replies,25052.0
2016#7,Unique user to user reply pairs,20489.0
2016#7,Average user reply counts,1.2227048660256723
2016#7,Maximum user reply counts,18.0
2016#7,Median posts per user,1.0
2016#7,Median users per post,1.0
2016#7,Ratio of users commenting on multiple posts,9.8270811679108
2016#7,Ratio of posts with multiple users commenting,3.472550316545403
2016#7,Total node count,16417.0
2016#7,Total edge count,23184.0
2016#7,Density,0.0001720510083150863
2016#7,Assortativity,-0.08088050996025291
2016#7,Community count,298.0
2016#7,Community modularity,0.8466436251477295
2016#7,Average internal vs external edge ratio,1.3550030261301722
2016#7-GCC,Total node count,15824.0
2016#7-GCC,Total edge count,22833.0
2016#7-GCC,Density,0.00018238447609286428
2016#9,Total comment count,35806.0
2016#9,Unique users,15591.0
2016#9,Unique posts with comments,2993.0
2016#9,Total comments without text,27.0
2016#9,Total comments that are replies,35779.0
2016#9,Valid user to user replies,24549.0
2016#9,Unique user to user reply pairs,19801.0
2016#9,Average user reply counts,1.2397858694005353
2016#9,Maximum user reply counts,63.0
2016#9,Median posts per user,1.0
2016#9,Median users per post,1.0
2016#9,Ratio of users commenting on multiple posts,9.263838691268784
2016#9,Ratio of posts with multiple users commenting,3.5238729313296555
2016#9,Total node count,16331.0
2016#9,Total edge count,23075.0
2016#9,Density,0.00017305045352530396
2016#9,Assortativity,-0.08359340879139064
2016#9,Community count,296.0
2016#9,Community modularity,0.8578262561661195
2016#9,Average internal vs external edge ratio,1.409254706393196
2016#9-GCC,Total node count,15755.0
2016#9-GCC,Total edge count,22735.0
2016#9-GCC,Density,0.00018319588136013937
2018#10,Total comment count,36631.0
2018#10,Unique users,15505.0
2018#10,Unique posts with comments,1987.0
2018#10,Total comments without text,14.0
2018#10,Total comments that are replies,36617.0
2018#10,Valid user to user replies,27199.0
2018#10,Unique user to user reply pairs,21409.0
2018#10,Average user reply counts,1.270447008267551
2018#10,Maximum user reply counts,32.0
2018#10,Median posts per user,1.0
2018#10,Median users per post,1.0
2018#10,Ratio of users commenting on multiple posts,9.723332001598083
2018#10,Ratio of posts with multiple users commenting,2.9314822213343987
2018#10,Total node count,15880.0
2018#10,Total edge count,23341.0
2018#10,Density,0.0001851295764267652
2018#10,Assortativity,-0.07168888130512996
2018#10,Community count,212.0
