network,metric_name,metric_value
2018#7,Median posts per user,1.0
2018#7,Median users per post,1.0
2018#7,Ratio of users commenting on multiple posts,9.122116440864152
2018#7,Ratio of posts with multiple users commenting,2.5723178322958624
2018#4,Total comment count,38144.0
2018#4,Unique users,17030.0
2018#4,Unique posts with comments,1831.0
2018#4,Total comments without text,16.0
2018#4,Total comments that are replies,38128.0
2018#4,Valid user to user replies,28194.0
2018#4,Unique user to user reply pairs,22185.0
2018#4,Average user reply counts,1.2708586883029074
2018#4,Maximum user reply counts,67.0
2018#4,Median posts per user,1.0
2018#4,Median users per post,1.0
2018#4,Ratio of users commenting on multiple posts,9.220421318137232
2018#4,Ratio of posts with multiple users commenting,2.7651922088841143
2016#1,Total comment count,39245.0
2016#1,Unique users,16463.0
2016#1,Unique posts with comments,2756.0
2016#1,Total comments without text,4.0
2016#1,Total comments that are replies,39241.0
2016#1,Valid user to user replies,26451.0
2016#1,Unique user to user reply pairs,21166.0
2016#1,Average user reply counts,1.2496929037135027
2016#1,Maximum user reply counts,55.0
2016#1,Median posts per user,1.0
2016#1,Median users per post,1.0
2016#1,Ratio of users commenting on multiple posts,11.431531687100673
2016#1,Ratio of posts with multiple users commenting,4.636504921429805
2016#7,Total comment count,36133.0
2016#7,Unique users,16035.0
2016#7,Unique posts with comments,2452.0
2016#7,Total comments without text,17.0
2016#7,Total comments that are replies,36116.0
2016#7,Valid user to user replies,25052.0
2016#7,Unique user to user reply pairs,20489.0
2016#7,Average user reply counts,1.2227048660256723
2016#7,Maximum user reply counts,18.0
2016#7,Median posts per user,1.0
2016#7,Median users per post,1.0
2016#7,Ratio of users commenting on multiple posts,9.8270811679108
2016#7,Ratio of posts with multiple users commenting,3.472550316545403
2018#10,Total comment count,36631.0
2018#10,Unique users,15505.0
2018#10,Unique posts with comments,1987.0
2018#10,Total comments without text,14.0
2018#10,Total comments that are replies,36617.0
2018#10,Valid user to user replies,27199.0
2018#10,Unique user to user reply pairs,21409.0
2018#10,Average user reply counts,1.270447008267551
2018#10,Maximum user reply counts,32.0
2018#10,Median posts per user,1.0
2018#10,Median users per post,1.0
2018#10,Ratio of users commenting on multiple posts,9.723332001598083
2018#10,Ratio of posts with multiple users commenting,2.9314822213343987
2016#4,Total comment count,34363.0
2016#4,Unique users,13830.0
2016#4,Unique posts with comments,2486.0
2016#4,Total comments without text,9.0
2016#4,Total comments that are replies,34354.0
2016#4,Valid user to user replies,24159.0
2016#4,Unique user to user reply pairs,19123.0
2016#4,Average user reply counts,1.2633478010772368
2016#4,Maximum user reply counts,41.0
2016#4,Median posts per user,1.0
2016#4,Median users per post,1.0
2016#4,Ratio of users commenting on multiple posts,11.65405847474954
2016#4,Ratio of posts with multiple users commenting,3.6648947045593947
2015#10,Total comment count,29666.0
2015#10,Unique users,12511.0
2015#10,Unique posts with comments,2376.0
2015#10,Total comments without text,6.0
2015#10,Total comments that are replies,29660.0
2015#10,Valid user to user replies,19765.0
2015#10,Unique user to user reply pairs,15705.0
2015#10,Average user reply counts,1.2585163960522128
2015#10,Maximum user reply counts,110.0
2015#10,Median posts per user,1.0
2015#10,Median users per post,1.0
2015#10,Ratio of users commenting on multiple posts,10.327210103329506
2015#10,Ratio of posts with multiple users commenting,5.057405281285878
2015#7,Total comment count,25868.0
2015#7,Unique users,11519.0
